Descriptors,Russia ,Iran,China,Control 1,Control 2
Vertices,8012,55348,1964,232844,210378
Edges,42376,287988,9054,248786,341943
Mean Distance,1.348,2.355,1.623,1.516,1.576
Transitivity,0.00003351,0.0001513,0.003354,0.0003741,0.0004313
Modularity,0.5904,0.8273,0.5927,0.9319,0.9252
Communities,9,26,43,32690,24150
Farthest Vertices,2,5,9,16,13
Edge Density,0.0006602,0.00009401,0.002348,0.000004589,0.000007726
Reciprocity,0,0.00832,0,0.0008053,0.00123
Assortativity,-0.06911,0.7018,0.05143,-0.01223,0.00771
